index,additionalInformation,assesmentMethods,availableEnglish,cefrLevel,code,content,courseStatus,courseUnitId,credits,endDate,gradingScale,homepage,id,languageOfInstruction,languageOfInstructionCodes,learningOutcomes,level,literature,name,organizationId,prerequisities,registration,startDate,substitutes,teacherInCharge,teachers,teachingPeriod,type,workload
1071,The maximum amount of training in master's degree is 10 credits. Multiple training periods can be accepted within the maximum range.Only for Master's students at the School of Science.,Work experience has to be related to the programme's studies. To get credits for work experience it must have been obtained after you have started your studies in the Master´s programme. Work experience is approved based on your report on work experience and a certificate from your employer. The grading scale is pass/fail.,True,https://mycourses.aalto.fi/course/search.php?search=sci.trai,SCI.trai,Work experience included in the Master¿s degree.,Elective studies.,1121966396,0-10,2019-07-31,Pass/fail,https://mycourses.aalto.fi/course/search.php?search=sci.trai,1134525264,,['en'],The purpose of getting work experience is to develop and deepen the knowledge and skills gained during studies.,Master's level.,,Training,T300,,"After you have registered for the course, you can return the training report, work certificate and application in MyCourses.",2018-08-01,Harj-0.1002 Training (higher university degree),"Petri Vuorimaa (Computer, Communication and Information Sciences)Adam Foster (Engineering Physics)Jens Schmidt (Industrial Engineering and Management)Eila Järvenpää (Information Networks)Juho Rousu (Life Science Technologies)Lasse Leskelä (Mathematics and Operations Research)",['Elsa Kivi-Koskinen'],,course,"Two weeks of working full-time equals one ECTS. If it is a part-time job, one ECTS equals 80 hours of work. Half credits are not granted."
1072,,"The course consists of 26 h lectures and 110 h independent work / group work. Evaluation is based on exercises and essay tasks, including their presentation for the class  (30 %), and final exam (70 %).",True,,SPT-E1010,"   Finnish planning system covering both formal hierarchy of plans as described in Finnish Land Use and Building Act (132/1999), and non-statutory planning and policy instruments with which urban and regional structures can be steered.International examples of planning systems (planning law, policy instruments) ","Spatial Planning and Transportation Engineering, common studies (compulsory)",1125691646,5,2018-10-26,0-5,https://mycourses.aalto.fi/course/search.php?search=SPT-E1010,1133728520,English,['en'],"After the course the students will be able to: Describe Finnish planning systemUtilize legislative and normative planning (and policy) instruments in studio courses and in planning workDescribe the main characteristics of Continental European, British and American planning systems and compare themAssess and evaluate different kinds of planning systemsAssess the strengths and weaknesses of different types of planning instruments; develop planning and policy instruments","Master's level, doctoral level","Finnish Land use and building act (132/1999), other legal and policy texts (to be announced in the first lecture)",Land Use Planning Systems L,T213,,Max. number of students is 40. Priority is given to the students of the Master's Programme Spatial Planning and Transportation Engineering.,2018-09-12,Maa-20.3510 Strategic Urban and Regional Planning OR Maa-78.3220 Maankäytön startegiat ja suunnitteluyhteistyö ,,['Tuomas Ilmavirta'],I (autumn term),course,"26 h lectures, 110 h independent work / group work"
1073,,In-class aactivity (35%)Assignments (35%)Review paper and presentation (30%)Verbal exam (optional),True,,SPT-E1020,"   History of transportation Individual travel behaviour and collective traveling activity patterns Transport vehicles Planning process, regulations, and organization Conventional and novel planning approaches Public transport planning Parking and terminal planning Walking and biking facilities planning Regional transportation planning","Master's Programme in Spatial Planning and Transportation Engineering, common studies (compulsory)",1125691672,5,2018-12-11,0-5,https://mycourses.aalto.fi/course/search.php?search=SPT-E1020,1133728524,English,['en'],A student who has passed the course will be able to: explain travel behaviour phenomenaexplain interaction between land use and transport systemevaluate road transport vehicles describe transport planning procedures and methods formulate urban and regional transport plan componentsinterpret scientific literature in transport systems planning  ,"Master's level, doctoral level",  Lectures and guest lecturesDiscussion sessionsIndividual and group in-class exercise AssignmentsReview paper including peer review and presentationCourse material and scientific literatureSite visit,Transport Systems Planning L,T213,,Maximum number of students on the course is 30. Priority will be given to students in the Master¿s Programme in Spatial Planning and Transportation Engineering.,2018-09-11,Yhd-71.3225 Transportation System Planning,,['Milos Mladenovic'],I-II (autumn term),course,- Lectures and in-class activities (60 h)- Individual learning (75 h)
1074,,The course consists of 26 h of lectures/contect teaching and of 110 h independent work and working in small groups. Evaluation is based on learning outcomes and the students are assessed on the basis of their lecture diaries and/or essay tasks (80 %) and their participation in the discussion during the sessions (20 %).,True,,SPT-E1030,"Modern planning theory covering both procedural and substantive planning theories. The origins of planning theoretical thought and its contemporarychallenges (e.g. urban complexity, sustainability, civil society development, managerialism, globalization).","Master's Programme in Spatial Planning and Transportation Engineering, common studies (compulsory)",1125691687,5,2018-12-12,0-5,https://mycourses.aalto.fi/course/search.php?search=SPT-E1030,1133728539,"Englanti, pyydettäessä suoritettavissa suomeksi tai ruotsiksi",['en'],"A student who has passed the course will be able to: understand broader philosophical and societal discourses that are related to the societal role and tasks assigned to planning,understand the interplay of planning and other major societal forces (e.g. other sectors of public governance, (global) markets, NGOs),understand possibilities and limitations of planning to make a difference in societyelaborate conceptually various ethical implications related to choices made in planning,associate and evaluate critically various theoretical responses to different types of planning problems,engage reflectively in discourses concerning contemporary planning challenges.  ","Master's level, doctoral level",Course literature to be announced in the first lecture.,Planning Theory L,T213,,Max. amount of students 40 (priority is given to the students of the Masters's Programme in Spatial Planning and Transportation Engineering). ,2018-09-12,Maa-78.3210 Maankäytön suunnittelun teoria ja historia P,,['Vesa Kanninen'],I-II (autumn term),course,"26 h lectures, 110 h independent work and working in small groups"
1075,,"Calculation exercises, home assignments, group assignment, and exam",True,,SPT-E1040,"Social and economic impacts of transport.Philosophies, institutions and goals of transport policy. Demand, costs, pricing and taxation of transport. Markets, regulation and tendering of transport services. Economic theories of transport/land use interaction. Assessment of investments and transport policies. Transport policy in Finland and EU.","Master's programme in Spatial Planning and Transportation Engineering, common studies (compulsory)",1125691758,5,2018-12-12,0-5,https://mycourses.aalto.fi/course/search.php?search=SPT-E1040,1133728549,English,['en'],"A student who has passed the course will be able to explain the importance of transport and the nature of transport marketsevaluate the goal setting and means of transport policies analyze and assess the impacts of investments and policies evaluate the principles of pricing, regulation, taxation and tendering of transport servicesapply economic theories to explain the interaction between transport systems and land use (incl. housing and production)identify assumptions, philosophies and uncertainties behind transport policies and transport economic theories  ","Master's level, doctoral level",Course compendium and lecture slides,Transport Policy and Economics L,T213,,Registration via WebOodi. Priority will be given to students of the Master's Programme in Spatial Planning and Transportation Engineering. ,2018-10-29,Yhd-71.2115 Liikennepolitiikka ja -talous,,['Tapio Luttinen'],"II (autumn 2018, autumn 2019)",course,- Lectures 30 h- Exercises 21 h- Individual work 70 h- Groupwork 12 h
1076,,"Lectures, peer teaching, learning diaries, selected readings and other methods. Some practical applications from the field of living environment will be included to the course program, when possible. Evaluation criteria will be specified during the course.",True,,SPT-E1050,Theoretical foundation for the large scale systemic principles and the multi-dimensional interdependencies of sustainability. Complex adaptive systems and the key concepts related to systems thinking in the context of sustainable living environment. Applying systems thinking in the context of sustainable living environment.,"Master's Programme in Spatial Planning and Transportation Engineering, common studies (compulsory) and Master's Programme in Creative Sustainability (Real Estate and Water Management), advanced studies (compulsory).",1125691855,5,2019-04-03,0-5,https://mycourses.aalto.fi/course/search.php?search=SPT-E1050,1133728560,English,['en'],"As an outcome of the course, the student will achieve understanding of the large scale systemic principles and the multi-dimensional interdependencies of sustainability. The student will learn to define and discuss the key concepts related to systems thinking in the context of sustainable living environment. The student will get skills to apply systems thinking in the context of sustainable living environment.","Master's level, doctoral level",The literature of the course will be specified during the course. Some readings will be given as a pre-task to the course.,Systems Thinking for Sustainable Living Environment L,T213,No prerequisites,,2019-01-09,Maa-78.3330 Urban Systems,,['Aija Staffans'],III-IV (spring term),course,"Lectures 20 h (10 x 2h)Peer teaching 1 hTeamwork 34 hWriting, literature etc. individual work 80 hTotal 135 h (5 cr)"
1077,,"The following teaching methods are used during the course: lectures, including guest lectures on research methods and information retrievalstudent homeworkstudent presentations and mutual feedback discussionsindividual feedback for draft versionsan individual seminar presentationan individual opponent task Active participation of the students is essential. The course incorporates visiting lectures on the following topics: qualitative research and theme interviewstatistical and geographic information methodsinformation retrieval Detailed study material is provided for the use of bibliography, the structure of the research plan and the master's thesis, and other relevant topics.  ",True,,SPT-E1060,"The course consists of introductory lectures, independent work, and individual seminar presentation(s). Every student will have an individual supervisor and an instructor.","Master's Programme in Spatial Palnning and Transportation Engineering, common studies (compulsory)",1125691921,5,2019-05-23,0-5,https://mycourses.aalto.fi/course/search.php?search=SPT-E1060,1133728568,English,['en'],"The purpose of the course is to prepare an initial research plan and to proceed in the research and writing task for a Master's thesis. The course supports abilities of searching and critiquing relevant literature, designing a research methodology and time plan, and writing the thesis. After the course, the student knows about different types of master's theses and has a general understanding of the workload and schedulehas formulated research questions for her/his individual topic and chosen appropriate materials and methods to answer themhas basic knowledge of qualitative and quantitative research methodshas basic skills for information retrieval for her/his subjectknows how to cite publications in her/his text, to use referencing software, and to write a list of referenceshas written a personal research plan for her/his master's work, including the abstract and the content plan, and is able to present and discuss the topic","Master's level, doctoral level","Detailed study material is provided for the use of bibliography, the structure of the research plan and the master's thesis, and other relevant topics.","Seminar on Spatial Planning and Transportation Engineering L, V",T213,At the beginning the student has to contact his supervisor/ instructor for her master's thesis topic.,Students in the Masters's Programme in Spatial Planning and Transportation Engineering are prioritized. ,2018-09-10,Maa-20.3408 Seminars in Real Estate and Planning,,['Marketta Kyttä-Pirjola'],I-V (autumn and spring terms),course,The workload will be presented in the course syllabus.
1078,,"Attendance in workshops and case area visits is compulsory, the absence during maximum two workshops is allowed. The study work consists of several compulsory planning and analysis assignments related to the planning case, involving both group and individual work.    Assessment is based on assignments.",True,,SPT-E1070,"A planning case requiring the integration of land use and transportation system planning with a strategic perspective in municipal and further regional contexts: An analysis of existing urban structure and transportation network and related development trajectories, with the use of relevant data and data systems. The generation of alternative scenarios for long term development that inform the making of a visionary strategic frame. The making of an integrative strategic plan, in which short term decisions are alingned with a longer term policy based on the created strategic frame.","Master's Programme in Spatial Planning and Transportation Engineering, common studies (compulsory)    ",1125692027,10,2018-12-13,0-5,https://mycourses.aalto.fi/course/search.php?search=SPT-E1070,1133728576,English,['en'],"After the course the students will be able to develop an integrated and anticipatory understanding of land use and transportation system planning in the context of urban and regional strategic spatial planning,use the scenario methodology to develop strategic frames for urban and regional developmentidentify uncertainties in planning and find ways to cope with them,assess short term decisions in urban and transportation planning strategically,recognize and apply normative and legislative planning tools and various incentives related to the land use and transportation system,measure efficiencies of land use functions and related transportation service levels,view transit planning in an urban and regional context, use theoretical concepts and models in planning work.","Master's level, doctoral level",Course literature and planning case -related documents and data.,"Planning Studio L, V",T213,,Students in the Master's Programme in Spatial Planning and Transportation Engineering are prioritized.  ,2018-09-13,"Maa-20.3520 Shared Project A, Spatial Planning V OR Yhd-71.3270 Urban Transport Systems OR Yhd-71.3280 Shared Project C, Urban Engineering",,['Vesa Kanninen'],I-II (autumn term),course,"Learning sessions (incl. workshops and meetings with instructors) 70 hours, group work and individual studying 200 hours."
1079,,"Calculation exercises, home assignment and project.",True,,SPT-E4010,  Data collection and management. Trip-based modelling. Discrete-choice modelling. Activity-based modelling. Integrated land use and transport modelling. Network theory,"Master's Programme in Spatial Planning and Transportation Engineering, advanced studies (optional)",1125692110,5,2019-02-14,0-5,https://mycourses.aalto.fi/course/search.php?search=SPT-E4010,1133728593,English,['en'],"A student who has passed the course will be able to: Justify data collection and management methods and technology; Apply trip-based, discrete-choice and activity-based models for transport systems planning; Apply network theory to transport systems planning; Explain differences and similarities between different models used for transport systems planning; Follow scientific literature in transport systems modelling.","Master's level, doctoral level",,Transport Modelling L,T213,,,2019-01-07,Yhd-71.3235 Traffic Studies and Forecasting,,['Claudio Roncoli'],III (spring term),course,Contact sessions 40 h Individual learning 40 h Exercises 55 h
1080,,"Calculation exercises, home assignments and  group assignment.",True,,SPT-E4020,  Basic characteristics of traffic flow.Tools for analysing traffic behavior and characteristics.Macroscopic and microscopic modelling of traffic flow.Analysis of traffic operations for various facilities.,"Master's Programme in Spatial Planning and Transportation Engineering, advanced studies (optional)",1125701866,5,2019-04-05,0-5,https://mycourses.aalto.fi/course/search.php?search=SPT-E4020,1133728602,English,['en'],A student who has passed the course is able to Describe the main characteristics of traffic flowRepresent traffic phenomena using different methods and toolsRecognise how traffic congestion starts and propagateSelect and apply appropriate methods and techniques for analysing traffic-related problemsInterpret and elaborate different type of traffic dataFollow scientific literature in traffic flow theory,"Master's level, doctoral level",,Traffic Flow Theory L,T213,,,2019-02-25,Yhd-71.3240 Liikennevirran ominaisuudet,,['Claudio Roncoli'],IV (spring term),course,Contact sessions 40 hExercises 55 hGroup-work 40 h
1081,,"Exercise work, final exam",True,,SPT-E4030,"Mobility management, traffic control, intelligent transportation system (ITS). Traditional traffic control with signs and traffic signals. The use of censor- , communication, data processing technologies in real-time systems and services. The use of mobile devices and applications in transport and mobility. Traffic information and control systems, road charging, incident management, automated law enforcement, route guidance, multi-modal door-to-door guidance, Mobility as a Servive (MaaS). Intelligent road, intelligent vehicle, driving support systems, self-driving cars. Sustainable energy solutions, electric mobility.","Master's programme in Spatial Planning and Transportation Engineering, advanced studies (optional)",1125701970,5,2019-05-29,0-5,https://mycourses.aalto.fi/course/search.php?search=SPT-E4030,1133728613,English,['en'],"After the course, the student should be able to: - Plan the use of road signs - Plan the timing of traffic signals - Understand of the multi-level/multi-objective nature of the traffic control and mobility management - Understand the need of intelligent systems in order to achieve the objectives related to safety, fluency, environmental effects, energy, economy, level of service - Choose the best technologies and services against the given requirements and to evaluate the benefits - Construct a vision of what is required from the future transport system to solve the major challenges","Master's level, doctoral level","Slides of the lectures https://mycourses.aalto.fi/mod/folder/view.php?id=197610 , Textbook, additional material",Traffic Management L,T213,,,2019-04-15,Yhd-71.3250 Liikenteen hallinta,,['Iisakki Kosonen'],V (spring term),course,Lectures 30 hExercises 20 hOther work 6 hIndependent work 77 hAll together 133 h = 5 cr
1082,,"Assessment is based on learning outcomes, students are assessed based on their individual performance during the course. (40% on classes and reading seminars, and 60% on exam / course work)  ",True,,SPT-E5010,The course provides a critical overview of urban and regional development and related theories. Including e.g. following topics: Cities and regions in urbanizing worldHistorical overview of urban developmentTopical themes and emerging trends in urban development and spatial planningHuman-centred living environmentUrban change and spatial differentiation,"Master's programme in Spatial Planning and Transportation Engineering, advanced studies (optional)",1125701801,5,2019-05-28,0-5,https://mycourses.aalto.fi/course/search.php?search=SPT-E5010,1133728622,"English, may be completed in Finnish or Swedish upon request",['en'],"After the course a student: is familiar with the theoretical discussion on urban and regional development and can engage in academic discussions on the themeis able to critically analyse urban environments, urban development, and related policies: their aims and means as well as their relation to spatial planningrecognizes and can analyse the contested nature societal context of planning and urban development, and can reflect on one's own role as a planner accordingly","Master's level, doctoral level","Academic readings. In addition, also material about urban development from various sources (planning documents, city strategies, media articles, videos, etc.)",Urban and Regional Development L,T213,,,2019-04-16,Maa-78.3240 Kaupunkien ja alueiden kehittämisen politiikat,,['Tuomas Ilmavirta'],V (spring term),course,"24 h lectures, 116 h independent work and working in small groups"
1083,,"The course utilizes student-centered learning methods. The methods include online learning, group work and lectures. Assessment is based on the project work that is realized in groups as well as on individual performance.  ",True,,SPT-E5020,"The course focuses on the study of urban experiences in relation to the physical characteristics of the settings. During the course the student will learn about the classical research approaches in person-environment research and environmental psychology. These themes include: Aesthetic experiencesSense of communityPerceived safetyRestorative environmentsChildfriendly EnvironmentsPlace attachment Each theme will be studied both theoretically and empirically. In addition, the course will cover some more holistic themes, such as social sustainability and various urban lifestyles. When possible, a collaboration with a real-life planning case will be realized.","Master's Programme in Spatial Planning and Transportation Engineering, advanced studies (optional)",1125701903,5,2019-02-19,0-5,https://mycourses.aalto.fi/course/search.php?search=SPT-E5020  ,1133728626,English,['en'],The aim of the course is to introduce the student the possibilities to use research on person-environment relationship in land use planning. The course is a deep dive into the experiential world of an urban dweller or the user of urban places. After the course the student: Can identify the main theoretical discussions regarding person-environment transactions and human experiences in various urban settingsKnows a variety of methodological approaches of environmental psychology and human-environmental research and has a capability to apply some of them in knowledge creation for land use planning projectsKnows how to gather information about urban environments and how to search scientific knowledge from empirical person-environment research In addition she/he also Can critically evaluate the quality of urban spaces or the quality of plans from the point view of the human experienceCan apply person-environment research in land use planning,"Master's level, doctoral level",Academic readings and self-collected data using smart methods like softGIS.,Urban Experience L,T213,,Max 40 students. The priority will be given to the students of Master's Programme in Spatial Planning and Transportation Engineering.,2019-01-08,,,['Marketta Kyttä-Pirjola'],III (spring term),course,Lectures 20 h (10 x 2h)Online sessions 6 hCourse project work 109 hTotal 135 h (5 cr)
1084,,"The pedagogy of the course is based on collaborative and problem oriented approaches, as well as learning by doing, and seeks to achieve both double and triple loop learning. Collaborative methods, rich use of urban information and ict-enabled tools, presentations and visualization skills are emphasized. The course will be passed when the student has the following assignments accepted: 1) conducting all the planning related exercises on the smart and liveable city, 2) co-creating of the smart & livable city concept from a holistic and integrative perspective. Therefore, 80 % participation in the classroom work is obligatory..",True,,SPT-E8010,"The emphasis of the course is methodological. The students will conduct a series of methodological exercises related to planning and design. The course follows a human-centric framework and discusses widely the liveability of cities. Students will work both individually and in small teams in cooperation with professionals in the field. Besides the weekly contact teaching, an intensive week will be arranged to support working together. Lectures will be arranged related to liveability, smart cities and digitalized planning.","Master's Programme in Spatial Planning and Transportation Engineering, advanced studies (optional)",1125702024,10,2019-05-29,0-5,https://mycourses.aalto.fi/course/search.php?search=SPT-E8010,1133728635,English,['en'],"The aim of the course is to provide understanding of the multidimensional concept of ´smart and liveabe city' and the ubiquitous ICT in our living environment, what this means in different contexts and how it can be applied and evaluated from a variety of perspectives in the practice of planning and design. As an outcome of the course the student achieves knowledge of different urban systems in the context of liveability, and recognizes the wide-ranging expertise necessary to the planning and developing cities. Students will learn to cope with the uncertainties in available planning data and, to consider the reliability of methods through a hands-on process in which their planning principles are constantly tested. Students will get familiar with the evolving field of computational planning and planning support systems. Finally, students will receive practical skills which support their professional development.","Master's level, doctoral level","Readings of the course (articles, book chapters etc.) will be specified later.","Smart and Liveable City Studio L, V",T213,": For the project work of the course you should master at least one and be somewhat familiar with at least one of the following skills: You are able to utilize and combine various cad drawings and other data from different sources, often provided as autocad-files, potentially using different coordinate systems You are able to use either Revit or Archicad (and possibly Rhino/3dsmax + a rendering software) to open existing BIM models, quickly model, edit, and visualize anything from building parts to neighborhoods You are able to use a graphic suite of your choosing to create visually appealing illustrations, charts, drawings, maps and page layouts You are able to create real-time rendered 3d-scenes + simple logic and controls using a general purpose game engine such as Unity You are able to utilize GIS data provided in different formats and coordinate systems using a suite such as ArchGIS You can create interactive web-based visualizations HTML5 (with or without libraries such as D3) and/or mapping tool APIs, such as Google maps You are able to use advanced analysis methods either by powerusing Excel including Macros/Pivot tables, and/or using Matlab, Mathematica You are able to create simulations using traffic simulation software (e.g., VISSIM, Aimsun, Paramics, etc.) and/or use travel demand forecasting software (e.g., eMME, VISSUM, CUBE, etc.) You are proficient with some evaluation tools (e.g., accessibility assessment, cost-benefit analysis, multicriteria analysis, HDM, STEAM) You are able to create prototypes and implement algorithms using a programming language and a database management software of your choice (e.g., MS Visio, Simulink, Python, VBA, SQL) You are proficient with some of the traffic operations design tools (e.g., Synchro, Transyt 7F, HCS+, SIDRA) You are confident with your statistical analysis skills (e.g., SPSS, JMP, Minitab, R) You are able to utilize qualitative data analysis tools (e.g., NVivo, Atlas.ti)","Max 15 students; masters' students from land use planning and transportation engineering, architecture, landscape architecture, real estate business, energy engineering, geo-informatics or other relevant master's programs.",2019-02-27,,,['Aija Staffans'],IV-V (spring term) intensive week,course,"Exercises 210 hours Intensive weak 30 hours (8.-12.4.2019, 6.-9.4.2020) Lectures and readings 30 hours Total 270 h (10 cr)"
1085,,"Lectures, demonstrations, discussions, assignments, group work, independent work, workshops, critiques. A digital portfolio with a self-reflecting section is required. 80 % attendance and completing the assignments is required.",True,,TAI-C1014,"The students rehearse contextualizing, interpreting and analysing their own work and contemporary photographic art. The course focuses in using photography as a medium for artistic thinking and practice. The students learn about the camera functions, exposure, focal length, light and basic color correction. During the course the students complete a digital publication or an exhibition.    ","Kuvataidekasvatuksen maisteriohjelma, muuntokoulutus",1133110941,5,2019-05-09,Hyväksytty-hylätty,,1133642717,englanti,['en'],Students master basic skills in photography and learn to use photography as a medium for artistic practice. Students are able to work with photography in the context of contemporary art and visual culture as well as art education.      ,Kuvataiteen perusopinnot,Readings and learning material is announced and shared in the digital learning environment.,Photography Workshop,A805,,"16 opiskelijaa, kurssi on suunnattu erityisesti kuvataidekasvatuksen muuntokoulutuksen opiskelijoille",2019-04-23,,Minna Suoniemi,['Minna Suoniemi'],V,course,"50 h kontaktiopetusta, 85 h itsenäistä työskentelyä"
1086,,"Kontaktiopetus, ekskursiot ja vierailut, itsenäinen ja ryhmätyöskentely",True,,TAI-E1159,"Through readings, activities, and by creating projects with partners, the course builds students' understanding and practical knowledge of sustainable efforts conducted by individuals and organizations that aim to reverse destruction, to build sustainable and less cruel societies as well as to impact people's perceptions of democratic cultures. During the course, participants work with other professionals from the fields of science, culture, media, economics and/or materials productions and explore how arts, art activism, and art education pedagogy can positively participate in or facilitate these projects. ",Kuvataidekasvatuksen maisteriohjelma,1132979010,5,2018-12-05,0-5,,1133642872,"opetuskieli englanti, suorituskieli pyydettäessä suomi",['en'],"Through collaboration and practice, students learn how to apply theory and concepts to artistic, educational and activist projects that aim to engage diverse groups of people. Students further develop their skills in identifying meaningful connections between theory and art/activist projects. Also, students utilize personal experiences, skills and contemporary theories to create public events or projects, to evaluate these critically, and to assess potential for change and impact.",maisteritaso,,"Activism, Civil Engagement and Art",A805,,20 opiskelijaa   Minimiosallistujamäärä 8 opiskelijaa,2018-10-31,,Anniina Suominen,['Anniina Suominen'],II,course,"Kontaktiopetus 45 h (pakollinen läsnäolo min. 80%), itsenäinen työskentely 90 h"
1087,,"Students presentations of their MA thesis project, discussions and critique. Groupwork and independent work. 80% attendance mandatory in seminar.",True,,TAI-E3005,"The students' individual MA thesis work is developed from initial idea towards the completed thesis. Students present their own work in its different stages, and give/get constructive criticism on each other's work. Students will attend thesis presentations of graduating students and will learn to reflect on completed theses and their presentations. Skills in academic writing are enhanced and the relation between the artistic project and the text in each individual thesis is explicitly addressed.","Master's Programme in Visual Cultures, Curating and Contemporary Art",1117336310,5,2019-04-01,pass/fail,https://mycourses.aalto.fi/course/search.php?search=TAI-E3005,1133613862,"English, may be completed in Finnish or Swedish up request",['en'],Students will understand thesis requirements and the graduation process. Students learn argumentation and presentation skills and are able to apply what they have learned to their thesis work. The students have the necessary skills to complete their individual MA thesis.,Master level course,Opinnäyteohje / Master's Thesis Guide,Thesis Seminar,A805,"Introduction to Visual Culture and Contemporary Art, Academic Skills","Registration via WebOodi. Please see WebOodi for registration dates.   The order of priority for admitting students to courses at Aalto ARTS 1.1.2018 onwards (approved by The Committee of Arts, Design and Architecture on 10.10.2017) The order of priority is as follows:1.students for whom the course is compulsory for their major/programme and who have scheduled it for the current academic year in their personal study plan (HOPS);2.exchange students for whom the course is a part of his/her officially approved learning agreement and scheduled to be taken during the current semester;3.students for whom the course is compulsory for their major/programme and who have not completed it yet;4.students, for whom the course is part of his/her major's or programme's alternative studies and has been scheduled in the student's PSP (HOPS) for the current academic year5.students, for whom the course is part of his/her major's or programme's alternative studies and who have not completed the requisite number of credits for alternative studies yet;6.students for whom the course is compulsory for their minor;7.students, for whom the course is part of his/her minor subject's alternative studies and who have not completed the requisite number of credits for alternative studies yet;8.students who have applied for the course through a student mobility scheme (internal mobility within Aalto University, flexible study right (JOO) studies etc.);9.other students. Courses that are intended to be multidisciplinary (e.g. UWAS courses) may apply an order of priority based on the learning outcomes of the course, while bearing in mind the university obligation of enabling students to complete their degrees within the normative duration of study set for the degree. The order of priority does not apply to courses organised by the Centre for General Studies or doctoral courses. This decision on the order of priority does not influence the right of the teacher to define prerequisites for the course.  ",2018-09-17,,"Lucy Davis, Marko Karo, Taina Rajanti, Max Ryynänen, Harri Laakso","['Pia Euro', 'Harri Laakso', 'Bassam El Baroni', 'Lucy Davis', 'Taina Rajanti']",I-IV,course,"Contact teaching 72 h, individual work 63 h. 80% attendance mandatory in seminar."
1088,,"Active presence (80%), all assignments completed.",True,,TAI-E3007,"The course is an introduction to the basic skills needed for scholarly work in visual culture and contemporary art. The course includes lectures, discussions and assignments on what research is; some relevant research approaches and methodologies; and where to find more sources regarding those fields. It also includes lectures, discussions and assignments on what academic writing is and why e.g. references and background material is essential, and how to use them in practice.","The course belongs to Master's Programme in Visual Cultures, Curating and Contemporary Art",1132785493,5,2018-12-13,0-5,https://mycourses.aalto.fi/course/search.php?search=TAI-E3007,1133614024,"English, may be completed in Finnish or Swedish up request",['en'],"The course provides an understanding of what research is, especially in the context of the ViCCA MA, through introducing some relevant research methods. After the course, students will also have an understanding of the formalities of academic writing and a preliminary familiarity of using them. The course prepares students for the thesis seminar, and gives them tools for working on an MA thesis.",Master level course,Study materials given during the course.,Research and Writing,A805,,"Registration via WebOodi. Please see WebOodi for registration dates. The order of priority for admitting students to courses at Aalto ARTS 1.1.2018 onwards (approved by The Committee of Arts, Design and Architecture on 10.10.2017) The order of priority is as follows: 1. students for whom the course is compulsory for their major/programme and who have scheduled it for the current academic year in their personal study plan (HOPS); 2. exchange students for whom the course is a part of his/her officially approved learning agreement and scheduled to be taken during the current semester; 3. students for whom the course is compulsory for their major/programme and who have not completed it yet; 4. students, for whom the course is part of his/her major's or programme's alternative studies and has been scheduled in the student's PSP (HOPS) for the current academic year 5. students, for whom the course is part of his/her major's or programme's alternative studies and who have not completed the requisite number of credits for alternative studies yet; 6. students for whom the course is compulsory for their minor; 7. students, for whom the course is part of his/her minor subject's alternative studies and who have not completed the requisite number of credits for alternative studies yet; 8. students who have applied for the course through a student mobility scheme (internal mobility within Aalto University, flexible study right (JOO) studies etc.); 9. other students. Courses that are intended to be multidisciplinary (e.g. UWAS courses) may apply an order of priority based on the learning outcomes of the course, while bearing in mind the university obligation of enabling students to complete their degrees within the normative duration of study set for the degree. The order of priority does not apply to courses organised by the Centre for General Studies or doctoral courses. This decision on the order of priority does not influence the right of the teacher to define prerequisites for the course",2018-10-30,,,['Taina Rajanti'],"II (2018, 2019)",course,"36h contact teaching, 99 individual and team assignments.Requirement of all schedules activities a minimum of 80%."
